#,Key,Artwork,File Type,BPM,Comments,DJ Play Count,Track Title,Artist,Genre,Album,Rating,Release Date,Year,Label,Remixer,Mix Name,Time,Date Added,Size,File Name,Bitrate,Location,Bitdepth
81,11A,,MP3,123.0,OOOLD_SRC_YODJ,16,A Deeper Love (Original Mix),M.in,Tech House,"Elrow Vol. 3 (Mixed By Claptone, Tini Gessler & Eddy M) - Beatport Exclusive Edition",*****,2018-01-01,2018,Cr2 Records,,,07:33,2022-08-06,17.4 MB,10899087_A Deeper Love_(Original Mix).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_18_07-25/10899087_A Deeper Love_(Original Mix).mp3,16
82,4A,,MP3,123.0,OOOLD_SRC_YODJ,3,Tomaza (feat. Piq Montano) (Original Mix),PAUZA,Afro House,Tomaza (feat. Piq Montano),*****,2021-05-21,2021,Create Music Group,,,03:13,2023-04-14,7.9 MB,15208982_Tomaza (feat. Piq Montano)_(Origina_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_11_07-25/15208982_Tomaza (feat. Piq Montano)_(Origina_2_0.mp3,16
83,5A,,AIFF,124.0,OOOLD_SRC_YODJ,9,Siboney (Original Mix),"DJ Arte, alsur, Keysa",Afro House,Siboney (Original Mix),*****,2023-06-29,2023,Miami 305,,,04:38,2023-11-29,47.9 MB,"Siboney-BY-DJ_Arte,_alsur,_Keysa_(Original_Mix)_KEY_C_Minor_BPM_17868593_Afro_House__LBL_Miami_305-RY_2023_06-DWN_2023_11.aiff",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_47_07-25/Siboney-BY-DJ_Arte,_alsur,_Keysa_(Original_Mix)_KEY_C_Minor_BPM_17868593_Afro_House__LBL_Miami_305-RY_2023_06-DWN_2023_11.aiff",16
84,11A,,AIFF,124.0,OOOLD_SRC_YODJ,9,Ninos (Lexah Remix 2022),Lexa Hill,Afro House,Ninos (Lexah Remix 2022),,2022-07-01,2022,UNION RECORDS (IT),,,05:43,2023-09-05,58.3 MB,Ninos-BY-Lexa_Hill_(Lexah_Remix_2022)_KEY_Gb_Minor_BPM_16585298_Afro_House_LEXAH_LBL_UNION_RECORDS_(IT)-RY_2022_07-DWN_2023_09.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_44_07-25/Ninos-BY-Lexa_Hill_(Lexah_Remix_2022)_KEY_Gb_Minor_BPM_16585298_Afro_House_LEXAH_LBL_UNION_RECORDS_(IT)-RY_2022_07-DWN_2023_09.aiff,16
85,8A,,WAV,124.0,OOOLD_SRC_YODJ,15,Jaleo feat. Concha Buika (Cuica Remix),Truby Trio,nan,nan,*****,nan,0,nan,,,06:40,2023-04-14,67.4 MB,Truby Trio - Jaleo feat. Concha Buika (Cuica_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_4_07-25/Truby Trio - Jaleo feat. Concha Buika (Cuica_2_0.wav,16
86,12A,,MP3,122.0,OOOLD_SRC_YODJ,0,Niconé & Sascha Braemer feat. Kimtoo - Myheart,trndmsk,nan,nan,,nan,0,nan,,,06:52,2025-03-16,6.3 MB,Niconé & Sascha Braemer feat. Kimtoo - Myheart.mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_9_07-25/Niconé & Sascha Braemer feat. Kimtoo - Myheart.mp3,16
87,11A,,MP3,123.0,OOOLD_SRC_YODJ,0,Ry & Frank Wiedemann - Howling (Mick Benjamins' Edit),Mick Benjamins,nan,nan,,nan,0,nan,,,07:22,2025-03-16,17 MB,Ry & Frank Wiedemann - Howling (Mick Benjamins' Edit).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_9_07-25/Ry & Frank Wiedemann - Howling (Mick Benjamins' Edit).mp3,16
88,8A,,MP3,100.0,OOOLD_SRC_YODJ,0,Santi - En Las Alturas,Santi & Tuğçe,nan,nan,,nan,0,nan,,,10:14,2025-03-16,9.4 MB,Santi - En Las Alturas.mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_37_07-25/Santi - En Las Alturas.mp3,16
89,7A,,MP3,102.0,OOOLD_SRC_YODJ,0,Discoshaman & Lemurian - Union Mystica feat. Nicolai Vesthammer  (Rodrigo Gallardo Remix),❋ Cosmic Awakenings ❋,nan,nan,,nan,0,nan,,,06:20,2025-03-16,5.9 MB,Discoshaman & Lemurian - Union Mystica feat. Nicolai Vesthammer  (Rodrigo Gallardo Remix).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_37_07-25/Discoshaman & Lemurian - Union Mystica feat. Nicolai Vesthammer  (Rodrigo Gallardo Remix).mp3,16
90,11A,,MP3,125.0,OOOLD_SRC_YODJ,0,Damian Lazarus & The Ancient Moons - All I Need To Get High (Ae:ther Dreaming Dub Remix),Damian Lazarus,nan,nan,,nan,0,nan,,,08:28,2025-03-16,7.8 MB,Damian Lazarus & The Ancient Moons - All I Need To Get High (Ae_ther Dreaming Dub Remix).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_32_07-25/Damian Lazarus & The Ancient Moons - All I Need To Get High (Ae_ther Dreaming Dub Remix).mp3,16
91,6A,,MP3,120.0,OOOLD_SRC_YODJ,0,Chant,Few Nolder,nan,nan,,nan,0,nan,,,04:34,2025-03-16,4.2 MB,Chant.mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_56_07-25/Chant.mp3,16
92,4B,,WAV,119.98,OOOLD_SRC_YODJ,0,Taron-Trekka - Swing Swing [brut! 13],brut! records,nan,nan,,nan,0,nan,,,08:48,2024-08-08,89 MB,a5AOl-13_0Bpm_120_7Key_8A_4cnt-rnk_1A1A6A-012oct_iiNAME_Taron-Trek_bybrut reco__GG__LBL_.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_62_07-25/a5AOl-13_0Bpm_120_7Key_8A_4cnt-rnk_1A1A6A-012oct_iiNAME_Taron-Trek_bybrut reco__GG__LBL_.wav,16
